Time (Unix),Time (yyyy-mm-dd hh:mm:ss),Value
1717690140,2024-06-06 16:09:00,0.12362181
1717690200,2024-06-06 16:10:00,0.113823417
1717690260,2024-06-06 16:11:00,0.09447911
1717690320,2024-06-06 16:12:00,0.09978509
1717690380,2024-06-06 16:13:00,0.100411883
1717690440,2024-06-06 16:14:00,0.099750688
1717690500,2024-06-06 16:15:00,0.081351738
1717690560,2024-06-06 16:16:00,0.070476757
1717690620,2024-06-06 16:17:00,0.048310014
1717690680,2024-06-06 16:18:00,0.038800344
1717690740,2024-06-06 16:19:00,0.046830085
1717690800,2024-06-06 16:20:00,0.043022845
1717690860,2024-06-06 16:21:00,0.034883009
1717690920,2024-06-06 16:22:00,0.032766806
1717690980,2024-06-06 16:23:00,0.031525146
1717691040,2024-06-06 16:24:00,0.018235239
1717691100,2024-06-06 16:25:00,0.035136478
1717691160,2024-06-06 16:26:00,0.063549283
1717691220,2024-06-06 16:27:00,0.08788582
1717691280,2024-06-06 16:28:00,0.115101216
1717691340,2024-06-06 16:29:00,0.138303009
1717691400,2024-06-06 16:30:00,0.15624512
1717691460,2024-06-06 16:31:00,0.181532585
1717691520,2024-06-06 16:32:00,0.202474814
1717691580,2024-06-06 16:33:00,0.230934112
1717691640,2024-06-06 16:34:00,0.241824627
1717691700,2024-06-06 16:35:00,0.244410362
1717691760,2024-06-06 16:36:00,0.236870293
1717691820,2024-06-06 16:37:00,0.238633825
1717691880,2024-06-06 16:38:00,0.250921107
1717691940,2024-06-06 16:39:00,0.255630275
1717692000,2024-06-06 16:40:00,0.260411188
1717692060,2024-06-06 16:41:00,0.275532288
1717692120,2024-06-06 16:42:00,0.294115118
1717692180,2024-06-06 16:43:00,0.310029129
1717692240,2024-06-06 16:44:00,0.325473678
1717692300,2024-06-06 16:45:00,0.351462726
1717692360,2024-06-06 16:46:00,0.392548588
1717692420,2024-06-06 16:47:00,0.429358895
1717692480,2024-06-06 16:48:00,0.443015301
1717692540,2024-06-06 16:49:00,0.43071744
1717692600,2024-06-06 16:50:00,0.401814928
1717692660,2024-06-06 16:51:00,0.370602819
1717692720,2024-06-06 16:52:00,0.347110678
1717692780,2024-06-06 16:53:00,0.33711415
1717692840,2024-06-06 16:54:00,0.325839215
1717692900,2024-06-06 16:55:00,0.337997723
1717692960,2024-06-06 16:56:00,0.351274073
1717693020,2024-06-06 16:57:00,0.334538745
1717693080,2024-06-06 16:58:00,0.346236836
1717693140,2024-06-06 16:59:00,0.340782783
1717693200,2024-06-06 17:00:00,0.318386785
1717693260,2024-06-06 17:01:00,0.330779814
1717693320,2024-06-06 17:02:00,0.339328428
1717693380,2024-06-06 17:03:00,0.34215907
1717693440,2024-06-06 17:04:00,0.321284399
1717693500,2024-06-06 17:05:00,0.299959976
1717693560,2024-06-06 17:06:00,0.273612238
1717693620,2024-06-06 17:07:00,0.229613158
1717693680,2024-06-06 17:08:00,0.200796636
1717693740,2024-06-06 17:09:00,0.182313073
1717693800,2024-06-06 17:10:00,0.17294945
1717693860,2024-06-06 17:11:00,0.166019551
1717693920,2024-06-06 17:12:00,0.165343197
1717693980,2024-06-06 17:13:00,0.145634451
1717694040,2024-06-06 17:14:00,0.124824071
1717694100,2024-06-06 17:15:00,0.10111424
1717694160,2024-06-06 17:16:00,0.094548256
1717694220,2024-06-06 17:17:00,0.088326494
1717694280,2024-06-06 17:18:00,0.087231648
1717694340,2024-06-06 17:19:00,0.091761537
1717694400,2024-06-06 17:20:00,0.090276276
1717694460,2024-06-06 17:21:00,0.099251911
1717694520,2024-06-06 17:22:00,0.121107444
1717694580,2024-06-06 17:23:00,0.155995882
1717694640,2024-06-06 17:24:00,0.191133025
1717694700,2024-06-06 17:25:00,0.213444655
1717694760,2024-06-06 17:26:00,0.226737873
1717694820,2024-06-06 17:27:00,0.223400789
1717694880,2024-06-06 17:28:00,0.212656341
1717694940,2024-06-06 17:29:00,0.211953923
1717695000,2024-06-06 17:30:00,0.214795574
1717695060,2024-06-06 17:31:00,0.229738798
1717695120,2024-06-06 17:32:00,0.257175925
1717695180,2024-06-06 17:33:00,0.268960843
1717695240,2024-06-06 17:34:00,0.272336937
1717695300,2024-06-06 17:35:00,0.292619211
